#{"t_start": 1747916898.2736607, "env_id": "None"}
r,l,t
-12.2,500,217.375107
-13.2,500,218.170219
0.0,500,218.530061
0.0,500,218.864383
0.0,500,219.182212
0.0,500,219.485075
0.0,500,219.818424
-12.7,500,220.622818
-10.9,500,221.455488
-12.1,500,222.223047
-11.0,500,223.060017
-11.6,500,223.822186
-10.9,500,224.669005
-10.2,500,225.792819
-11.4,500,226.83381
-11.6,500,227.742323
-11.7,500,228.556963
-11.2,500,229.363139
-11.3,500,230.172228
-11.2,500,230.989354
-11.8,500,231.84905
-11.7,500,232.77053
-10.7,500,233.726981
-11.2,500,234.636217
-10.0,500,235.489746
-10.6,500,236.390773
-8.6,500,237.196197
0.0,500,237.664227
0.0,500,238.010048
0.0,500,238.346277
0.0,500,238.663085
0.0,500,238.979917
-11.8,500,239.81847
-9.3,500,240.595783
-10.0,500,241.389364
-9.9,500,242.1671
-11.3,500,242.981867
-9.1,500,243.801882
-10.5,500,244.585733
-10.6,500,245.39589
-9.9,500,246.260042
-8.7,500,247.072082
-11.9,500,247.901218
-10.5,500,248.711757
-9.0,500,249.53331
-9.6,500,250.338431
-9.0,500,251.18397
-10.4,500,252.036056
-9.8,500,252.988902
-10.1,500,253.984662
-9.6,500,254.864848
-10.1,500,255.751976
0.0,500,256.143831
0.0,500,256.48218
0.0,500,256.872952
0.0,500,257.17279
0.0,500,257.480318
-10.0,500,258.341825
-9.0,500,259.196553
-10.1,500,260.003132
-9.5,500,260.802713
-9.6,500,261.655283
-9.1,500,262.565224
-9.5,500,263.318845
-8.1,500,264.233914
-8.6,500,265.152937
-8.3,500,265.973079
-9.6,500,266.727196
-9.2,500,267.732441
-8.3,500,268.560965
-9.3,500,269.406259
-10.5,500,270.200802
-9.5,500,270.989603
-8.7,500,271.816036
-8.5,500,272.615577
-7.5,500,273.4564
-7.8,500,274.260404
0.0,500,274.563269
0.0,500,274.911132
0.0,500,275.212005
0.0,500,275.536849
0.0,500,275.859603
-8.4,500,276.697335
-8.2,500,277.54378
-6.6,500,278.380861
-8.3,500,279.212849
-7.8,500,280.017409
-8.7,500,280.826978
-7.8,500,281.667134
-7.5,500,282.546806
-7.8,500,283.381136
-8.1,500,284.193677
-9.1,500,285.00727
-8.0,500,285.873325
-6.1,500,286.725951
-8.2,500,287.607055
-6.4,500,288.465143
-7.5,500,289.326273
-7.2,500,290.192852
-6.9,500,291.0479
-7.6,500,292.002138
-6.9,500,292.84731
0.0,500,293.212111
0.0,500,293.559898
0.0,500,293.927696
0.0,500,294.315507
0.0,500,294.659885
-5.9,500,295.552336
-7.2,500,296.428622
-6.2,500,297.282984
-7.1,500,298.277082
-6.1,500,299.353915
-7.7,500,300.334988
-5.7,500,301.271604
-6.6,500,302.302734
-7.3,500,303.267215
-6.9,500,304.095751
-6.8,500,304.944617
-6.2,500,305.766232
-7.0,500,306.641901
-6.2,500,307.503642
-6.0,500,308.374803
-5.8,500,309.222376
-4.9,500,310.084014
-5.3,500,310.935095
-5.4,500,311.787205
-6.4,500,312.60083
0.0,500,312.920217
0.0,500,313.239052
0.0,500,313.557906
0.0,500,313.902761
0.0,500,314.231091
-5.9,500,315.108746
-4.5,500,315.975736
-6.0,500,316.793597
-5.4,500,317.63394
-5.5,500,318.603105
-5.5,500,319.693949
-5.7,500,320.789866
-6.1,500,321.771243
-5.6,500,322.797658
-6.3,500,323.661249
-5.5,500,324.539804
